,result,table,_start,_stop,_time,Table,Tag1,_measurement,asset_id,assetattribute_id,synced,,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:04Z,AssetConfig,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,Wet Draw 4,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:05Z,AssetConfig,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,Wet Draw 5,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
,,,,,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string,long,,
#default,_result,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,asset_id,ml_attributes,model,model_path,multiplier,pickle_path,synced,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:20Z,AssetMLModelConfig,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,"[speed_m_s,production_kg,sum_of_downtime,sum_of_runtime,sum_of_slowspeed,dancer_pressure,motor_cooling_fan_rpm,emulsion_brix]",yes,Model2,"[1,2,3]",Model2,0,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:21Z,AssetMLModelConfig,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,"[speed_m_s,production_kg,sum_of_downtime,sum_of_runtime,sum_of_slowspeed,dancer_pressure,motor_cooling_fan_rpm,emulsion_brix]",yes,Model2,"[1,2,3]",Model2,0,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:22Z,AssetMLModelConfig,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,"[speed_m_s,production_kg,sum_of_downtime,sum_of_runtime,sum_of_slowspeed,dancer_pressure,motor_cooling_fan_rpm,emulsion_brix]",yes,Model2,"[1,2,3]",Model2,0,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:23Z,AssetMLModelConfig,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,"[speed_m_s,production_kg,sum_of_downtime,sum_of_runtime,sum_of_slowspeed,dancer_pressure,motor_cooling_fan_rpm,emulsion_brix]",yes,Model2,"[1,2,3]",Model2,0,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:24Z,AssetMLModelConfig,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,,no,,,,0,,
,,,,,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,long,double,double,double,double,long,string,long
#default,_result,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,asset_id,lower_limit,mean,range_end,range_start,std_dev,synced,type,upper_limit
,,5,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:01Z,AssetMLModelOp,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,0,2.101394,4,0,0.773872,0,NoProd,0
,,5,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:02Z,AssetMLModelOp,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,0,9.225136,11.5,4,0.566326,0,Schange,0
,,5,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:03Z,AssetMLModelOp,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,0,13.455181,999999,11.5,0.473222,0,Prod,0
,,5,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:04Z,AssetMLModelOp,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,0,2.101394,4,0,0.773872,0,NoProd,0
,,5,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:05Z,AssetMLModelOp,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,0,9.225136,11.5,4,0.566326,0,Schange,0
,,5,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:06Z,AssetMLModelOp,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,0,13.455181,999999,11.5,0.473222,0,Prod,0
,,5,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:07Z,AssetMLModelOp,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,0,2.101394,4,0,0.773872,0,NoProd,0
,,5,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:08Z,AssetMLModelOp,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,0,9.225136,11.5,4,0.566326,0,Schange,0
,,5,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:09Z,AssetMLModelOp,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,0,13.455181,999999,11.5,0.473222,0,Prod,0
